page_downloaded,page_id,page_md5,ice_date_updated,ice_date_as_of_case,ice_date_as_of_case_current,ice_date_as_of_test,ice_date_as_of_pop,ice_page_version
2020-04-04 03:00:00,3f3d382aa4cf8c7668f1be6d0a16ed10,ff5a81f4db22888c800badc1e9b5d4b2,2020-04-03 23:46:00,,,,,V1
2020-04-05 03:26:00,4b0f158dc494926ea949bfb0f6f16786,93c4a52d7ae39afe8cf1cd11bce0a6a8,2020-04-05 00:00:00,,,,,V1
2020-04-05 03:49:00,7e2c4936082c06702f0106f842e1e134,93c4a52d7ae39afe8cf1cd11bce0a6a8,2020-04-05 00:00:00,,,,,V1
2020-04-05 12:55:00,f091a412d8017020c83e25c98f01d458,93c4a52d7ae39afe8cf1cd11bce0a6a8,2020-04-05 00:00:00,,,,,V1
2020-04-05 23:06:00,eca9e40c6d444d6b14542df41342c5ae,93c4a52d7ae39afe8cf1cd11bce0a6a8,2020-04-05 00:00:00,,,,,V1
2020-04-05 23:47:00,c0f4fb1bfd548785ff1bae9cf47e73d3,93c4a52d7ae39afe8cf1cd11bce0a6a8,2020-04-05 00:00:00,,,,,V1
2020-04-06 01:28:00,8ff371a9fa580c56a9cd0d5f19f06530,93c4a52d7ae39afe8cf1cd11bce0a6a8,2020-04-05 00:00:00,,,,,V1
2020-04-06 02:28:00,83ad5cddcb36d0a07b468aa2f41829ee,93c4a52d7ae39afe8cf1cd11bce0a6a8,2020-04-05 00:00:00,,,,,V1
2020-04-06 13:56:00,05a370b2df8828b2edb27a55ae9c8177,93c4a52d7ae39afe8cf1cd11bce0a6a8,2020-04-05 00:00:00,,,,,V1
2020-04-06 14:06:00,bb8dd120262930a34c73da87932f1fcf,93c4a52d7ae39afe8cf1cd11bce0a6a8,2020-04-05 00:00:00,,,,,V1
2020-04-06 14:49:00,535e901371ac574201792da35e348672,93c4a52d7ae39afe8cf1cd11bce0a6a8,2020-04-05 00:00:00,,,,,V1
2020-04-06 15:29:00,a370ff51d077952bb4cedda00d7d473e,93c4a52d7ae39afe8cf1cd11bce0a6a8,2020-04-05 00:00:00,,,,,V1
2020-04-06 16:30:00,4db796a8d42c291d25c0ed9dadbd1f80,ca857e959ef82e0d78da130a64243e3f,2020-04-05 00:00:00,,,,,V1
2020-04-06 21:21:00,e0bba16c8ca9865d35b7f75e7285b4f4,ca857e959ef82e0d78da130a64243e3f,2020-04-05 00:00:00,,,,,V1
2020-04-07 14:28:00,e81b015f7a7a93950e4f25fe11c9d502,ca857e959ef82e0d78da130a64243e3f,2020-04-05 00:00:00,,,,,V1
2020-04-07 16:03:00,d19f305cd631635e067ed6aa7f9eaaf3,7ff78875aff0c4a5a13e0c0e8259b42b,2020-04-05 00:00:00,,,,,V1
2020-04-07 17:16:00,2937017ffe5c921daead70815ad408d8,7ff78875aff0c4a5a13e0c0e8259b42b,2020-04-05 00:00:00,,,,,V1
2020-04-07 18:23:00,46c663eea866ebc7283fe2c5c018a2c7,baaf5d74825880038fb18aad2cd0bc4c,2020-04-05 00:00:00,,,,,V1
2020-04-07 20:11:00,fd563ecd3ea6c243e56b7e1b29674189,961b4c268457b8e3780069f077d5703c,2020-04-07 20:05:00,,,,,V1
2020-04-07 22:19:00,7700c6c6fd05f54a999e954111e30eb7,86e9abaea3b4a6655277bf87cbd34f35,2020-04-07 21:20:00,,,,,V1
2020-04-08 00:58:00,9995715efe51a1f5b552069f837dcde9,00d4fe8c0a4af4b475e5db8fccfc2f64,2020-04-07 21:20:00,,,,,V1
2020-04-08 11:37:00,5c6d2e99d3e3dd41c14339569067638e,00d4fe8c0a4af4b475e5db8fccfc2f64,2020-04-07 21:20:00,,,,,V1
2020-04-08 13:08:00,b4be35101ead179ef42a583974217b8c,6c5c9fb4ea9f89c4830ed9208bb7dae3,2020-04-07 21:20:00,,,,,V1
2020-04-08 14:05:00,992261e796fcb4376bb9a44be92bc35d,a07461b422bb947d83a7f4bc28fba8a9,2020-04-07 21:20:00,,,,,V1
2020-04-08 15:09:00,28d750716764079a996d006e983e828f,a07461b422bb947d83a7f4bc28fba8a9,2020-04-07 21:20:00,,,,,V1
2020-04-08 17:41:00,ebefce4ba340c0b79733ac6d0a2d06c9,a07461b422bb947d83a7f4bc28fba8a9,2020-04-07 21:20:00,,,,,V1
2020-04-08 23:23:00,c7dda272bec6e437f592f29096b9e445,0d8a667d43fd09322df1a6288c7ecc07,2020-04-08 17:49:00,,,,,V1
